@relation ObtainTorque

@attribute node numeric
@attribute torque numeric
@attribute distance numeric

@data
5,465,124.251404
5,470,126.345871
5,475,119.137741
5,480,116.225792
5,485,117.443153
5,490,130.4431
5,495,129.919739
5,500,119.712479
6,340,183.699371
6,345,178.407516
6,350,13.502845
6,355,14.915515
6,360,166.224152
6,365,184.520447
6,370,162.963348
6,375,177.842743
6,380,181.705887
6,385,11.293449
6,390,14.571775
6,395,183.079086
6,400,11.07696
6,405,14.60433
6,410,182.970413
6,415,11.162124
6,420,14.792826
6,425,181.808456
6,430,11.117435
6,435,13.323768
6,440,168.709686
6,445,188.228439
6,450,163.853531
6,455,168.179413
6,460,172.690735
6,465,172.152496
6,470,182.503448
6,475,11.000959
6,480,14.476864
6,485,170.509171
6,490,179.023315
6,495,163.890182
6,500,167.994949
7,340,237.02037
7,345,13.846594
7,350,14.647544
7,355,238.31163
7,360,238.585739
7,365,238.272125
7,370,238.174698
7,375,238.979111
7,380,238.818405
7,385,238.029083
7,390,226.52298
7,395,238.709763
7,400,225.641327
7,405,226.222397
7,410,237.879471
7,415,239.051788
7,420,226.478546
7,425,237.484161
7,430,238.362137
7,435,237.013184
7,440,232.995758
7,445,237.560898
7,450,239.280151
7,455,237.310486
7,460,236.787369
7,465,236.938171
7,470,238.35881
7,475,222.404129
7,480,227.401917
7,485,220.731171
7,490,239.506241
7,495,238.871384
7,500,229.021072
8,340,307.669006
8,345,289.047089
8,350,308.409607
8,355,306.015259
8,360,290.721405
8,365,307.483276
8,370,10.727647
8,375,15.114309
8,380,301.863617
8,385,297.200562
8,390,11.448611
8,395,14.573204
8,400,306.81546
8,405,309.540192
8,410,17.830114
8,415,307.543823
8,420,299.04303
8,425,10.619774
8,430,14.320242
8,435,312.509125
8,440,304.454193
8,445,297.101074
8,450,10.983765
8,455,14.695817
8,460,271.460083
8,465,289.038727
8,470,305.470917
8,475,304.684906
8,480,2.819255
8,485,309.527039
8,490,301.630554
8,495,12.486098
8,500,14.359144
9,340,314.207916
9,345,315.986572
9,350,17.153059
9,355,314.185089
9,360,313.970917
9,365,314.963959
9,370,313.902405
9,375,313.424469
9,380,312.79248
9,385,313.536591
9,390,314.54068
9,395,13.518757
9,400,3.848416
9,405,313.245026
9,410,314.44339
9,415,312.672577
9,420,313.373016
9,425,315.854309
9,430,315.37674
9,435,313.056671
9,440,313.241058
9,445,314.293182
9,450,313.765808
9,455,313.965942
9,460,314.967285
9,465,313.8302
9,470,313.220428
9,475,313.655792
9,480,314.118103
9,485,313.356171
9,490,313.472229
9,495,312.529968
9,500,268.076782
10,340,314.99765
10,345,13.510774
10,350,15.207999
10,355,312.44165
10,360,313.873169
10,365,17.147612
10,370,314.664063
10,375,11.167459
10,380,14.576669
10,385,303.43399
10,390,304.671204
10,395,303.511902
10,400,314.120087
10,405,314.199463
10,410,315.219086
10,415,308.623993
10,420,312.507446
10,425,309.989716
10,430,314.619171
10,435,17.74729
10,440,311.270966
10,445,312.668884
10,450,311.916321
10,455,220.274979
10,460,14.014172
10,465,313.103485
10,470,311.236084
10,475,315.014374
10,480,271.103088
10,485,13.876714
10,490,305.816925
10,495,311.737579
10,500,312.906403
11,340,11.100245
11,345,14.717561
11,350,308.929443
11,355,308.658081
11,360,307.649261
11,365,10.803351
11,370,14.720675
11,375,307.810364
11,380,307.637115
11,385,309.598267
11,390,308.383881
